ori,Agency Name,State,Type
AL0010200,Birmingham,AL,City
AL0020100,Mobile,AL,City
AR0040100,Bentonville,AR,City
AR0230100,Conway,AR,City
AR0720100,Fayetteville,AR,City
AR0660100,Fort Smith,AR,City
AR0160100,Jonesboro,AR,City
AR0600300,North Little Rock,AR,City
CA0010100,Alameda,CA,City
CA0010000,Alameda,CA,County
CA030490X,Aliso Viejo,CA,City
CA0300100,Anaheim,CA,City
CA0190200,Arcadia,CA,City
CA0150200,Bakersfield,CA,City
CA0190600,Baldwin Park,CA,City
CA0330200,Beaumont,CA,City
CA0010300,Berkeley,CA,City
CA0070200,Brentwood,CA,City
CA0300300,Buena Park,CA,City
CA0191200,Burbank,CA,City
CA0560100,Camarillo,CA,City
CA0040200,Chico,CA,City
CA0360200,Chino,CA,City
CA0349600,Citrus Heights,CA,City
CA0100100,Clovis,CA,City
CA0331500,Corona,CA,City
CA0410600,Daly City,CA,City
CA0570100,Davis,CA,City
CA0090000,El Dorado,CA,County
CA0192200,El Monte,CA,City
CA0340H00,Elk Grove,CA,City
CA0480300,Fairfield,CA,City
CA0340100,Folsom,CA,City
CA0300700,Fountain Valley,CA,City
CA0100500,Fresno,CA,City
CA0300800,Fullerton,CA,City
CA0192400,Gardena,CA,City
CA0430400,Gilroy,CA,City
CA0010600,Hayward,CA,City
CA0302600,Irvine,CA,City
CA030390X,Laguna Niguel,CA,City
CA0310300,Lincoln,CA,City
CA0010700,Livermore,CA,City
CA0194200,Los Angeles,CA,City
CA0200200,Madera,CA,City
CA0390300,Manteca,CA,City
CA0240600,Merced,CA,City
CA030350X,Mission Viejo,CA,City
CA0194800,Monterey Park,CA,City
CA0270000,Monterey,CA,County
CA0431100,Mountain View,CA,City
CA0280200,Napa,CA,City
CA0301400,Newport Beach,CA,City
CA0210600,Novato,CA,City
CA0560400,Oxnard,CA,City
CA0431200,Palo Alto,CA,City
CA0195300,Pasadena,CA,City
CA0490800,Petaluma,CA,City
CA0310000,Placer,CA,County
CA0011100,Pleasanton,CA,City
CA0195500,Pomona,CA,City
CA0540500,Porterville,CA,City
CA0195600,Redondo Beach,CA,City
