ori,Agency Name,Murder,Rape,Robbery,Aggravated Assault,Burglary,Theft,Motor Vehicle Theft,Year,Month,State,Type
AL0010200,Birmingham,5,3,40,165,113,469,96,2025,10,AL,City
AL0010200,Birmingham,8,3,29,163,127,461,107,2025,11,AL,City
AL0010200,Birmingham,11,2,26,162,102,501,83,2025,12,AL,City
AL0010200,Birmingham,3,2,24,149,110,463,123,2026,1,AL,City
AL0010200,Birmingham,7,3,12,172,133,393,89,2026,2,AL,City
AL0010200,Birmingham,3,2,11,135,96,415,78,2026,3,AL,City
AL0010200,Birmingham,3,3,23,150,87,393,82,2026,4,AL,City
AL0010200,Birmingham,3,3,16,185,111,441,69,2026,5,AL,City
AL0010200,Birmingham,6,2,21,164,99,376,68,2026,6,AL,City
AL0020100,Mobile,0,0,4,50,23,98,12,2025,10,AL,City
AL0020100,Mobile,2,0,5,92,52,173,77,2025,11,AL,City
AL0020100,Mobile,1,0,10,111,54,218,35,2025,12,AL,City
AL0020100,Mobile,3,1,10,160,43,330,34,2026,1,AL,City
AL0020100,Mobile,6,1,8,115,34,302,28,2026,2,AL,City
AL0020100,Mobile,3,4,9,110,52,379,24,2026,3,AL,City
AL0020100,Mobile,1,4,4,104,26,226,14,2026,4,AL,City
AL0020100,Mobile,3,7,9,129,45,149,14,2026,5,AL,City
AL0020100,Mobile,3,3,8,109,28,159,11,2026,6,AL,City
AR0040100,Bentonville,0,2,1,7,6,26,0,2025,10,AR,City
AR0040100,Bentonville,0,2,0,9,1,30,0,2025,11,AR,City
AR0040100,Bentonville,0,6,0,11,4,30,2,2025,12,AR,City
AR0040100,Bentonville,0,0,1,5,7,23,1,2026,1,AR,City
AR0040100,Bentonville,0,1,1,9,2,18,2,2026,2,AR,City
AR0040100,Bentonville,0,0,3,9,5,35,3,2026,3,AR,City
AR0040100,Bentonville,0,5,0,5,9,16,2,2026,4,AR,City
AR0040100,Bentonville,0,2,0,14,3,26,0,2026,5,AR,City
AR0040100,Bentonville,0,0,0,0,0,0,0,2026,6,AR,City
AR0230100,Conway,1,3,4,18,7,97,7,2025,10,AR,City
AR0230100,Conway,0,2,2,24,10,84,5,2025,11,AR,City
AR0230100,Conway,0,3,1,20,8,80,11,2025,12,AR,City
AR0230100,Conway,0,0,1,12,8,67,12,2026,1,AR,City
AR0230100,Conway,1,8,1,26,4,59,3,2026,2,AR,City
AR0230100,Conway,1,4,0,33,3,76,3,2026,3,AR,City
AR0230100,Conway,0,6,4,30,13,79,3,2026,4,AR,City
AR0230100,Conway,0,5,1,28,8,79,4,2026,5,AR,City
AR0230100,Conway,0,0,0,0,0,0,0,2026,6,AR,City
AR0720100,Fayetteville,0,4,0,31,9,157,29,2025,10,AR,City
AR0720100,Fayetteville,0,2,1,40,14,107,18,2025,11,AR,City
AR0720100,Fayetteville,0,5,4,35,11,129,9,2025,12,AR,City
AR0720100,Fayetteville,0,4,0,25,13,155,8,2026,1,AR,City
AR0720100,Fayetteville,0,9,1,18,8,107,15,2026,2,AR,City
AR0720100,Fayetteville,0,1,1,43,16,131,14,2026,3,AR,City
AR0720100,Fayetteville,0,4,1,44,15,120,9,2026,4,AR,City
AR0720100,Fayetteville,0,3,2,39,14,132,11,2026,5,AR,City
AR0720100,Fayetteville,0,0,0,0,0,0,0,2026,6,AR,City
AR0660100,Fort Smith,0,12,5,66,20,220,13,2025,10,AR,City
AR0660100,Fort Smith,0,9,6,50,25,204,11,2025,11,AR,City
AR0660100,Fort Smith,2,6,3,30,21,207,19,2025,12,AR,City
AR0660100,Fort Smith,1,7,3,53,30,186,21,2026,1,AR,City
AR0660100,Fort Smith,0,4,1,47,15,129,23,2026,2,AR,City
AR0660100,Fort Smith,0,17,4,52,31,157,16,2026,3,AR,City
AR0660100,Fort Smith,0,9,2,58,23,217,18,2026,4,AR,City
AR0660100,Fort Smith,0,5,2,46,22,160,27,2026,5,AR,City
AR0660100,Fort Smith,0,0,0,0,0,0,0,2026,6,AR,City
AR0160100,Jonesboro,0,8,2,53,22,111,9,2025,10,AR,City
AR0160100,Jonesboro,0,6,2,25,17,106,13,2025,11,AR,City
AR0160100,Jonesboro,1,3,3,24,11,120,7,2025,12,AR,City
AR0160100,Jonesboro,1,5,4,19,12,122,7,2026,1,AR,City
AR0160100,Jonesboro,1,4,5,30,12,90,1,2026,2,AR,City
AR0160100,Jonesboro,0,7,2,32,18,138,4,2026,3,AR,City
AR0160100,Jonesboro,0,11,8,20,20,143,7,2026,4,AR,City
AR0160100,Jonesboro,1,3,1,40,31,129,7,2026,5,AR,City
AR0160100,Jonesboro,0,0,0,0,0,0,0,2026,6,AR,City
AR0600300,North Little Rock,0,2,3,37,30,194,28,2025,10,AR,City
AR0600300,North Little Rock,3,2,11,42,39,136,22,2025,11,AR,City
AR0600300,North Little Rock,1,2,1,61,62,168,32,2025,12,AR,City
AR0600300,North Little Rock,1,2,3,44,28,132,25,2026,1,AR,City
AR0600300,North Little Rock,0,2,11,37,23,124,17,2026,2,AR,City
AR0600300,North Little Rock,2,1,7,63,131,151,24,2026,3,AR,City
AR0600300,North Little Rock,1,2,7,62,28,165,20,2026,4,AR,City
AR0600300,North Little Rock,0,0,3,61,23,135,25,2026,5,AR,City
AR0600300,North Little Rock,0,0,0,0,0,0,0,2026,6,AR,City
CA0010000,Alameda,0,1,18,34,20,101,32,2025,10,CA,County
CA0010100,Alameda,0,2,7,12,8,221,57,2025,10,CA,City
CA0010000,Alameda,1,5,12,37,11,127,40,2025,11,CA,County
CA0010100,Alameda,0,1,4,10,18,149,43,2025,11,CA,City
CA0010000,Alameda,0,1,13,35,13,162,38,2025,12,CA,County
CA0010100,Alameda,0,4,11,11,16,171,39,2025,12,CA,City
CA0010000,Alameda,1,4,14,46,7,112,33,2026,1,CA,County
CA0010100,Alameda,0,3,4,9,49,177,38,2026,1,CA,City
CA0010000,Alameda,0,1,12,28,10,122,32,2026,2,CA,County
CA0010100,Alameda,0,1,6,7,9,158,26,2026,2,CA,City
CA0010000,Alameda,0,4,13,38,10,108,32,2026,3,CA,County
CA0010100,Alameda,0,3,12,13,6,195,31,2026,3,CA,City
CA0010000,Alameda,0,4,10,37,7,122,36,2026,4,CA,County
CA0010100,Alameda,0,1,8,12,3,174,47,2026,4,CA,City
CA0010000,Alameda,0,1,12,26,13,110,36,2026,5,CA,County
CA0010100,Alameda,0,1,7,17,4,164,41,2026,5,CA,City
CA0010000,Alameda,0,2,13,25,6,77,22,2026,6,CA,County
CA0010100,Alameda,0,1,9,12,7,145,27,2026,6,CA,City
CA030490X,Aliso Viejo,0,0,0,2,3,18,3,2025,10,CA,City
CA030490X,Aliso Viejo,0,0,0,8,3,22,3,2025,11,CA,City
CA030490X,Aliso Viejo,0,0,0,0,3,18,9,2025,12,CA,City
CA030490X,Aliso Viejo,0,0,0,7,3,15,6,2026,1,CA,City
