IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,INDEX CODE,ACTIVE
110,HOMICIDE,FIRST DEGREE MURDER,I,Murder
130,HOMICIDE,SECOND DEGREE MURDER,I,Murder
261,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,I,Rape
262,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER FIREARM,I,Rape
263,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,I,Rape
264,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,I,Rape
265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,I,Rape
266,CRIMINAL SEXUAL ASSAULT,PREDATORY,I,Rape
271,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - HANDGUN,I,Rape
272,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER FIREARM,I,Rape
273,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - KNIFE / CUTTING INSTRUMENT,I,Rape
274,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER DANGEROUS WEAPON,I,Rape
275,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER,I,Rape
281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,I,Rape
291,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,I,Rape
312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,I,Robbery
313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,I,Robbery
031A,ROBBERY,ARMED - HANDGUN,I,Robbery
031B,ROBBERY,ARMED - OTHER FIREARM,I,Robbery
320,ROBBERY,STRONG ARM - NO WEAPON,I,Robbery
325,ROBBERY,VEHICULAR HIJACKING,I,Robbery
326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,I,Robbery
330,ROBBERY,AGGRAVATED,I,Robbery
331,ROBBERY,ATTEMPT AGGRAVATED,I,Robbery
334,ROBBERY,ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT,I,Robbery
337,ROBBERY,ATTEMPT ARMED - OTHER DANGEROUS WEAPON,I,Robbery
033A,ROBBERY,ATTEMPT ARMED - HANDGUN,I,Robbery
033B,ROBBERY,ATTEMPT ARMED - OTHER FIREARM,I,Robbery
340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,I,Robbery
041A,BATTERY,AGGRAVATED - HANDGUN,I,Aggravated Assault
041B,BATTERY,AGGRAVATED - OTHER FIREARM,I,Aggravated Assault
420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,I,Aggravated Assault
430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,I,Aggravated Assault
450,BATTERY,AGGRAVATED POLICE OFFICER - HANDGUN,I,Aggravated Assault
451,BATTERY,AGGRAVATED POLICE OFFICER - OTHER FIREARM,I,Aggravated Assault
452,BATTERY,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,I,Aggravated Assault
453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,I,Aggravated Assault
461,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",I,Aggravated Assault
462,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",I,Aggravated Assault
479,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",I,Aggravated Assault
480,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,I,Aggravated Assault
481,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER FIREARM,I,Aggravated Assault
482,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,I,Aggravated Assault
483,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,I,Aggravated Assault
485,BATTERY,AGGRAVATED OF A CHILD,I,Aggravated Assault
487,BATTERY,AGGRAVATED OF AN UNBORN CHILD,I,Aggravated Assault
488,BATTERY,AGGRAVATED DOMESTIC BATTERY - HANDGUN,I,Aggravated Assault
489,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER FIREARM,I,Aggravated Assault
490,RITUALISM,AGGRAVATED RITUAL MUTILATION - HANDGUN,I,Aggravated Assault
491,RITUALISM,AGGRAVATED RITUAL MUTILATION - OTHER FIREARM,I,Aggravated Assault
492,RITUALISM,AGGRAVATED RITUAL MUTILATION - KNIFE / CUTTING INSTRUMENT,I,Aggravated Assault
493,RITUALISM,AGGRAVATED RITUAL MUTILATION - OTHER DANGEROUS WEAPON,I,Aggravated Assault
495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,I,Aggravated Assault
496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,I,Aggravated Assault
497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,I,Aggravated Assault
498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",I,Aggravated Assault
499,BATTERY,AGGRAVATED DOMESTIC BATTERY,I,Aggravated Assault
510,RITUALISM,"AGG. RITUAL MUTILATION - HANDS, FISTS, FEET, SERIOUS INJURY",I,Aggravated Assault
051A,ASSAULT,AGGRAVATED - HANDGUN,I,Aggravated Assault
051B,ASSAULT,AGGRAVATED - OTHER FIREARM,I,Aggravated Assault
520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,I,Aggravated Assault
530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,I,Aggravated Assault
550,ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,I,Aggravated Assault
551,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER FIREARM,I,Aggravated Assault
552,ASSAULT,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,I,Aggravated Assault
553,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,I,Aggravated Assault
555,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,I,Aggravated Assault
556,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER FIREARM,I,Aggravated Assault
557,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,I,Aggravated Assault
558,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,I,Aggravated Assault
610,BURGLARY,FORCIBLE ENTRY,I,Burglary
620,BURGLARY,UNLAWFUL ENTRY,I,Burglary
